ticker,options_volume,options_volume_call,options_volume_put,volume_put_call_ratio,open_interest,open_interest_call,open_interest_put,open_interest_put_call_ratio,iv_rank,implied_volatility_30d,,,,
NIO,76877,52626,24251,0.460817847,3018227,1794451,1223776,0.681977942,9.4591317,65.93714286,,,,
TSM,76702,43967,32735,0.744535674,1794331,743018,1051313,1.414922653,10.6685199,35.71571429,,,,
BA,76568,47326,29242,0.617884461,1131199,576448,554751,0.962360872,0.001,27.48571429,,,,
T,74517,44801,29716,0.663288766,1215225,656126,559099,0.852121391,30.79386981,23.38714286,,ERR,ERR,ERR
NBIS,74055,54612,19443,0.356020655,292645,226530,66115,0.291859798,33.70504117,98.24714286,,ERR,ERR,ERR
HD,73813,34740,39073,1.12472654,199232,102175,97057,0.949909469,30.27744801,26.41714286,,ERR,ERR,ERR
SPCE,73522,41730,31792,0.761849988,219814,112188,107626,0.959336114,31.64561517,152.05,,ERR,ERR,ERR
XOM,68882,33240,35642,1.072262335,969609,574171,395438,0.688711203,17.4746086,22.84857143,,,,
CLSK,68681,45422,23259,0.512064638,1257017,985197,271820,0.27590421,5.375292302,83.09428571,,,,
CVX,66672,24123,42549,1.763835344,607570,318706,288864,0.906365114,18.13032111,23.25714286,,,,
U,66458,54770,11688,0.213401497,598778,431240,167538,0.388502922,22.18955786,63.68,,,,
NKE,65801,47903,17898,0.373630044,1656318,957004,699314,0.730732578,31.14925122,33.72285714,,ERR,ERR,ERR
SOC,64866,51301,13565,0.264419797,145811,120004,25807,0.215051165,24.96077484,69.1054007,,,,
JPM,64495,32599,31896,0.978434921,751343,367887,383456,1.04232006,9.709662066,20.12,,,,
RKLB,63106,48854,14252,0.291726368,703339,457791,245548,0.53637577,25.23233647,71.84285714,,,,
MSTU,61936,42699,19237,0.450525773,628299,454527,173772,0.382313922,1.495212788,127.4714286,,,,
CMG,61681,48540,13141,0.270725175,1059984,500728,559256,1.116885814,26.00755858,30.25857143,,,,
AAL,56044,32658,23386,0.716087942,3189426,1145209,2044217,1.785016534,21.76199427,47.41285714,,,,
MRVL,54290,32082,22208,0.69222617,774493,386339,388154,1.004697947,50.24623346,69.67571429,,ERR,ERR,ERR
FCX,53930,31475,22455,0.713423352,1008505,517650,490855,0.948237226,21.86535438,40.59,,,,
NVO,53284,27292,25992,0.952366994,495813,260219,235594,0.905368171,47.4800504,45.98,,ERR,ERR,ERR
PANW,52147,25744,26403,1.025598198,540704,246991,293713,1.189164787,50.44530532,43.14428571,,ERR,ERR,ERR
ET,51725,41838,9887,0.236316268,1022262,758210,264052,0.348257079,23.68911215,24.02142857,,,,
C,50462,31132,19330,0.620904536,1796114,863285,932829,1.080557406,11.68831169,25.72285714,,,,
APLD,50301,37577,12724,0.338611385,456455,289239,167216,0.578123974,50.96657929,101.7914286,,ERR,ERR,ERR
BULL,50103,37925,12178,0.321107449,267396,194113,73283,0.377527523,0.001,103.3757143,,,,
CSCO,49646,31062,18584,0.598287296,1048736,616058,432678,0.702333222,15.05226481,18.45142857,,,,
JD,49619,33739,15880,0.470671923,1056924,655875,401049,0.611471698,18.18911741,42.17428571,,,,
SCHW,49570,37391,12179,0.325720093,468795,216339,252456,1.16694632,3.486669749,23.21285714,,,,
CVS,49262,41837,7425,0.177474484,653219,365078,288141,0.789258734,28.98985513,31.13857143,,,,
SE,48496,44963,3533,0.078575718,321098,186057,135041,0.725804458,18.26889641,37.64571429,,,,
COST,48217,36267,11950,0.329500648,262057,121612,140445,1.154861362,38.67421536,26.80142857,,ERR,ERR,ERR
JWN,47896,1848,46048,24.91774892,64360,42231,22129,0.523998958,0.001,3.797142857,,,,
DELL,47665,26758,20907,0.781336423,679774,330799,348975,1.054945753,49.77478092,58.00714286,,ERR,ERR,ERR
ARM,47602,31684,15918,0.502398687,809205,469319,339886,0.724211038,14.51935308,51.33,,,,
TEM,46848,33787,13061,0.386568799,284011,196019,87992,0.44889526,24.241132,85.63857143,,,,
VZ,46645,28147,18498,0.657192596,989141,536878,452263,0.842394361,23.05558979,19.59428571,,,,
DIS,46491,25904,20587,0.794742125,928503,511763,416740,0.814322255,12.82718779,22.50857143,,,,
SNAP,46330,31829,14501,0.455590813,980010,678494,301516,0.444390076,11.8986569,50.13714286,,,,
CELH,46280,28899,17381,0.601439496,554627,365833,188794,0.516066074,9.373289546,51.90285714,,,,
